DEPARTAMENTO,PERIODO,POB_TOTAL,POB_URBANA,POB_RURAL,QRESIDUOS_MUN
AMAZONAS,2014,421122,185026,236096,"6939,2847,9569,9590,8446,26147,5042,09288,34775,22631,92107,37204,03158,03211,35172,8933,9442,0483,16155,8490,1131,815856,16788,03613,53237,80996,901067,37585,9943,8079,0244,14131,661388,521819,3123,2083,44323,15138,77947,041275,70385,95859,79695,011406,66114,07317,17391,5686,0975,2176,67689,26112,22159,50504,46219,5064,0965,98115,5190,5382,0824,67110,19346,21164,64192,951157,4037,06130,90184,72205,68289,88279,03113,58254,5642,8939,81225,189757,922771,32793,97397,25352,901082,13131,06"
AMAZONAS,2015,422629,185516,237113,"6824,3745,0567,0485,6642,51138,7038,95289,08729,90248,5299,99188,96145,97217,85159,0231,9638,9079,41146,7183,7729,666486,48774,76768,58227,31870,951166,38708,0240,9773,9243,39125,561224,182374,8121,5076,80314,19130,32800,361259,20367,35836,56540,531343,51108,56296,68368,4079,5072,2971,43662,37107,79151,76482,50208,4461,2162,61108,4785,6276,5522,93105,24323,52157,19183,14831,5735,25121,16168,07195,47268,12258,19104,72246,7939,3636,81238,299720,741689,63781,56378,01336,30906,79122,38"
AMAZONAS,2016,423898,186126,237772,"6873,5245,2167,6285,7041,96138,3738,58291,91729,65238,4299,09187,16144,36218,19156,7232,2538,5879,57146,4783,1829,546496,70770,59767,27228,45874,121168,04703,1540,9973,8444,00125,981184,651820,2421,4075,95317,06130,50581,911269,70368,90843,88541,87958,62109,10294,81367,9978,3372,9470,97626,88108,46152,20485,23209,1661,6062,71108,0185,7076,1022,91105,78322,18157,56183,45912,5435,56120,86166,06197,11267,63257,38104,28249,8539,1836,77240,8110569,002358,67777,89378,72336,54891,12121,63"
AMAZONAS,2017,424952,186804,238148,"161,806914,6944,9167,8485,7039,34164,6138,28293,92729,65238,6698,64185,65142,86218,19154,3132,2538,2879,87146,1782,5829,546504,58766,96766,06198,40876,881188,86798,4140,9973,8444,30125,981194,251826,6921,1075,05319,47130,20619,201278,02369,80849,91641,08962,25109,40293,47367,6977,4473,2470,30627,42108,91152,50487,04209,7661,6062,71107,5785,7075,6622,60106,01320,67157,78183,45916,8035,86120,55164,26198,31267,03256,78103,98252,2638,8836,77242,9210603,702359,76774,38379,17409,15892,95"
AMAZONAS,2018,418798,207066,211735,"6389,5743,9379,63104,5042,17123,3455,06281,78696,841038,02103,57211,74299,57149,62134,3942,4529,7869,02126,2967,4631,867455,08822,56682,82175,131522,501052,20506,1935,3981,7422,83110,171097,141479,1518,00107,78244,1282,19643,381308,32318,15664,49681,481304,60105,97280,82315,8376,1262,0678,12531,0888,70112,36466,67156,0788,7959,6199,2583,8547,7520,4396,36261,24171,48195,941304,7019,23154,97225,61126,03256,48298,3672,39169,5945,0717,65110,9612397,662268,74716,69678,26376,301152,44129,22"
AMAZONAS,2019,423863,208307,215556,"9872,6041,4976,68106,5840,62118,9051,66337,63652,631013,72102,47206,34256,93144,00107,1639,8026,8250,88121,1061,2529,925969,581198,87556,10175,811552,57789,66417,4835,0060,6422,58108,39945,491051,3617,97108,96244,1779,60633,991291,55325,68671,82566,111303,56103,31289,38311,0778,0560,9780,33551,8392,88110,37462,09152,9991,2961,3967,8986,9546,4720,04100,64254,61179,61196,831272,4420,04134,04224,13126,18255,46297,5270,57175,3944,8818,63117,1514219,002240,18740,11707,70371,471076,21133,51"
AMAZONAS,2020,426806,208702,218104,"10164,0639,0170,83104,5437,35110,6949,04351,26604,39391,1097,03199,79254,95133,92102,9837,9024,2449,81115,0855,7328,426036,901170,50538,04172,851577,72774,42409,5934,0060,6422,29104,77938,381040,7217,68120,06242,4374,96615,821271,60332,51675,45563,451293,2299,48280,60141,3175,1658,5277,67543,6692,24106,72452,25147,9688,6059,9065,9285,1844,2818,95100,44243,26178,79196,631292,3520,34134,77216,51122,89249,67292,3166,32178,8044,0318,11124,8414294,312185,14724,05701,96390,111073,29130,96"
AMAZONAS,2021,428512,208478,220034,"7890,2636,1967,91103,7035,79106,4545,58356,55548,25383,7894,30190,08255,19128,71100,8935,1221,9849,3883,8550,9426,546152,661147,56523,02170,771591,26760,52286,5932,1778,3621,1898,66554,80685,7816,09122,79234,8568,90260,721266,43319,03661,93568,861247,7193,03274,17138,4472,2734,2175,48428,8892,00100,00251,38139,1486,9558,9663,9583,7444,0517,43100,72145,06178,95176,741301,4619,57132,88201,88115,55220,25277,4868,33168,9042,0917,43126,2711484,052130,64714,90702,97380,481447,42129,86"
ANCASH,2014,1142409,747453,394956,"16283,61107,90100,8586,0915337,75462,9173,62244,1889,23321,13117,59324,13232,98111,7885,4768,1182,14400,68101,11123,82161,56156,5253,12509,1645,74793,45189,9871,65312,05143,43261,70484,281136,66398,6453,67156,54107,11346,36211,68266,741867,29215,60165,93151,3260,17322,80134,7780,88307,70281,39149,63544,16134,35139,1812739,48263,17240,97673,90261,4057,8339,86121,62181,4569,93206,711167,0489,34133,36501,70176,18332,45283,10204,18161,62348,54174,80121,43192,47946,87237,69186,418134,3355,29469,87102,3679,595744,8972,2254,58108,51245,83102,1391,9582,4660,78111,60330,8052,0149,4149,9637,6184,3334,8149,66153,14129,80128,29152,8863,50198,98279,32114,02152,8375,60429,50106,161081,9650,44164,5079,65166,70238,66975,0083,22336,321321,13110,36218,5160,87642,47251,3798,68179,20210,11140,44237,1996,5865,85375,7341148,53267,523587,3967,70775,203742,45731,247214,8239624,54969,6866,7255,1935,42118,29260,92154,4591,1055,8068,642101,6340,67412,5955,90157,53212,8242,53130,70"
ANCASH,2015,1148634,753573,395061,"17383,85101,9298,1580,5618817,95333,4468,88238,3183,52307,28111,16325,91193,95106,7282,0963,9977,15351,6394,76115,60151,87148,8350,51485,4642,52604,49193,6466,95290,22134,87267,26499,80301,10380,9449,82154,73101,14333,04212,80260,382034,09206,00156,39144,3256,41309,03128,9477,44291,97270,14143,25518,4159,14132,726900,70265,48241,28679,66239,9853,6938,11116,13169,2465,78202,991169,4383,45124,26367,34164,41315,48265,90193,87150,69326,24164,89116,25182,941021,68226,91175,398267,6354,35479,15102,0878,375330,4565,7151,8099,50231,7897,5487,6678,8155,82105,43315,3849,5847,0047,1735,1880,4633,0846,72139,06126,37125,71146,3464,25188,01288,65109,31157,5970,54596,7799,981042,2846,92155,4674,07159,24224,14685,3077,95317,881074,12104,64207,7157,46756,58374,7294,15172,56205,50131,76231,4097,6161,54369,9968914,71176,894122,1563,091029,073902,18777,107398,2740882,481314,4663,9451,5833,32110,80246,05147,2385,8153,0764,713029,3439,07630,1953,67151,93200,6640,53123,91"
