DEPARTAMENTO,QRESIDUOS_MUN_2014,QRESIDUOS_MUN_2021,QRESIDUOS_MUN_DIF
AMAZONAS,52410.659999999996,49820.04,-2590.6199999999953
ANCASH,192847.7,241928.54,49080.84
APURIMAC,50967.35,62888.47,11921.120000000003
AREQUIPA,285226.24,355362.38,70136.14000000001
AYACUCHO,99210.47,125672.64,26462.17
CAJAMARCA,145616.54,157737.53999999998,12120.99999999997
CALLAO,342302.22,392934.69,50632.47000000003
CUSCO,246230.38,236022.52,-10207.860000000015
HUANCAVELICA,38399.32,42106.270000000004,3706.9500000000044
HUANUCO,94988.31999999999,108532.27,13543.950000000012
ICA,181573.41999999998,249251.25,67677.83000000002
JUNIN,218725.52,281872.96,63147.44000000003
LA LIBERTAD,376197.67,453611.48,77413.81
LAMBAYEQUE,264474.09,323825.66,59351.56999999995
LIMA,3018914.03,3583813.55,564899.52
LORETO,218770.72,237018.03,18247.309999999998
MADRE DE DIOS,21729.3,43821.98,22092.680000000004
MOQUEGUA,33213.23,49844.49,16631.259999999995
PASCO,42228.12,36563.16,-5664.959999999999
PIURA,361333.36,450131.1,88797.73999999999
PUNO,209927.63999999998,220508.05,10580.410000000003
SAN MARTIN,163403.63999999998,205598.46,42194.82000000001
TACNA,75612.14,81824.32,6212.180000000008
TUMBES,48797.16,68582.8,19785.64
UCAYALI,121851.25,155083.35,33232.100000000006
